iter	Logloss
0	0.6074146936
1	0.5518025361
2	0.5098898242
3	0.4838799225
4	0.4555407598
5	0.444256776
6	0.4353517909
7	0.4280408256
8	0.4146561903
9	0.4095179265
10	0.4052755484
11	0.4012924066
12	0.3955420359
13	0.3930852788
14	0.3907116484
15	0.388100491
16	0.3856379685
17	0.3844461194
18	0.3830147999
19	0.381702971
20	0.3806317264
21	0.377436246
22	0.3760371605
23	0.3753593365
24	0.374190276
25	0.370193841
26	0.3693757434
27	0.3684791701
28	0.3679246364
29	0.366260091
30	0.3658009786
31	0.3644923795
32	0.3635614511
33	0.3629513684
34	0.3622632919
35	0.3615283747
36	0.3607418532
37	0.3598776653
38	0.3595263621
39	0.3587918644
40	0.358400121
41	0.3580053685
42	0.3576402344
43	0.3569863431
44	0.3551486736
45	0.3526609623
46	0.3524431491
47	0.3514536072
48	0.3509734758
49	0.3492021833
50	0.3486106459
51	0.3470864793
52	0.3463160927
53	0.3455697999
54	0.3445867392
55	0.3431790269
56	0.3428432994
57	0.3423730123
58	0.3398830273
59	0.3384365227
60	0.3371560385
61	0.3367930008
62	0.3352460986
63	0.3344852588
64	0.3338614261
65	0.3321275308
66	0.3313628333
67	0.330723415
68	0.3292656553
69	0.3283686078
70	0.3265556468
71	0.3256054661
72	0.3244623236
73	0.3235251613
74	0.3230190451
75	0.322252334
76	0.3209993432
77	0.3196868845
78	0.3190094378
79	0.3186061152
80	0.3175146536
81	0.3160932518
82	0.314923156
83	0.3132272431
84	0.3123291709
85	0.3114194818
86	0.310552189
87	0.3098458716
88	0.3086424207
89	0.3081822287
90	0.3071432436
91	0.3057596577
92	0.3048986444
93	0.3043719043
94	0.3028860977
95	0.3022768618
96	0.3014940933
97	0.3006755018
98	0.2994773178
99	0.2985600167
