iter	Passed	Remaining
0	60	6003
1	64	3153
2	67	2169
3	69	1670
4	72	1375
5	74	1166
6	76	1017
7	78	904
8	80	817
9	82	746
10	85	688
11	86	635
12	88	595
13	90	558
14	92	525
15	94	498
16	96	473
17	98	450
18	100	430
19	103	412
20	105	395
21	107	379
22	108	364
23	111	351
24	113	339
25	114	327
26	116	315
27	118	305
28	120	295
29	122	285
30	124	276
31	125	267
32	127	258
33	128	250
34	130	242
35	131	234
36	133	226
37	134	219
38	135	212
39	137	206
40	139	200
41	140	193
42	141	187
43	142	181
44	143	175
45	144	169
46	145	164
47	146	159
48	148	154
49	149	149
50	151	145
51	152	140
52	153	136
53	154	131
54	156	127
55	157	123
56	158	119
57	159	115
58	161	111
59	162	108
60	163	104
61	164	100
62	165	97
63	166	93
64	168	90
65	169	87
66	170	84
67	171	80
68	173	77
69	174	74
70	175	71
71	176	68
72	177	65
73	179	62
74	180	60
75	181	57
76	182	54
77	184	51
78	185	49
79	186	46
80	188	44
81	189	41
82	190	39
83	191	36
84	192	34
85	194	31
86	195	29
87	197	26
88	198	24
89	199	22
90	200	19
91	202	17
92	203	15
93	204	13
94	206	10
95	207	8
96	209	6
97	210	4
98	211	2
99	213	0
